Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Adwords Grouping,Google Shopping / Adwords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
l-artichaut-fume,L'Artichaut Fumé,"Smoked artichoke hearts, hazelnut foam, and black truffle shavings.",Maison Étoile,,Appetizer,"Entrée, Vegan, Gluten-Free",TRUE,Title,Default,,,0,200,shopify,100,deny,manual,12.00,,FALSE,TRUE,,https://images.unsplash.com/photo-1511690656952-34342bb7c2f2?q=80&w=1000&auto=format&fit=crop,1,Smoked Artichoke,FALSE,,,,,,,,,,,,,,,,kg,,,active
les-huitres-perle,Les Huîtres Perle,"Six fresh Brittany oysters served with cucumber mignonette and lemon zest.",Maison Étoile,,Appetizer,"Entrée, Seafood",TRUE,Title,Default,,,0,300,shopify,50,deny,manual,28.00,,FALSE,TRUE,,https://images.unsplash.com/photo-1541529086526-db283c563270?q=80&w=1000&auto=format&fit=crop,1,Brittany Oysters,FALSE,,,,,,,,,,,,,,,,kg,,,active
le-foie-gras-royal,Le Foie Gras Royal,"Pan-seared duck foie gras, mission fig jam, and toasted brioche.",Maison Étoile,,Appetizer,"Entrée, Signature",TRUE,Title,Default,,,0,150,shopify,30,deny,manual,35.00,,FALSE,TRUE,,https://images.unsplash.com/photo-1628624747186-a941c476b7ef?q=80&w=1000&auto=format&fit=crop,1,Foie Gras Royal,FALSE,,,,,,,,,,,,,,,,kg,,,active
truffle-risotto,Truffle Risotto,"Creamy Arborio rice infused with black summer truffles, finished with 24-month aged Parmigiano-Reggiano and a touch of gold leaf.",Maison Étoile,,Main Course,"Gourmet, Truffle, Italian",TRUE,Title,Default,,,0,400,shopify,40,deny,manual,45.00,,FALSE,TRUE,,https://images.unsplash.com/photo-1476124369491-e7addf5db371?q=80&w=1000&auto=format&fit=crop,1,Truffle Risotto Plated,FALSE,,,,,,,,,,,,,,,,kg,,,active
wagyu-beef-steak,Wagyu Beef Steak,"A5 Miyazaki Wagyu striploin, pan-seared to perfection. Served with a reduction of red wine and shallots, and smoked sea salt.",Maison Étoile,,Main Course,"Wagyu, Steak, Premium",TRUE,Title,Default,,,0,350,shopify,10,deny,manual,120.00,,FALSE,TRUE,,https://images.unsplash.com/photo-1544025162-d4911d9539d0?q=80&w=1000&auto=format&fit=crop,1,Wagyu Beef Steak,FALSE,,,,,,,,,,,,,,,,kg,,,active
lobster-thermidor,Lobster Thermidor,"Fresh Atlantic lobster meat cooked in a rich brandy cream sauce, stuffed back into the shell and gratinated with Gruyère cheese.",Maison Étoile,,Main Course,"Seafood, Lobster, French",TRUE,Title,Default,,,0,800,shopify,15,deny,manual,85.00,,FALSE,TRUE,,https://images.unsplash.com/photo-1553163412-463878703a31?q=80&w=1000&auto=format&fit=crop,1,Lobster Thermidor,FALSE,,,,,,,,,,,,,,,,kg,,,active
wagyu-a5-rossini,Wagyu A5 Rossini,"Japanese A5 Wagyu beef topped with foie gras and Perigord truffle sauce.",Maison Étoile,,Main Course,"Plat, Luxury",TRUE,Title,Default,,,0,350,shopify,10,deny,manual,125.00,,FALSE,TRUE,,https://images.unsplash.com/photo-1546241072-48010ad28c2c?q=80&w=1000&auto=format&fit=crop,1,Wagyu A5 Rossini,FALSE,,,,,,,,,,,,,,,,kg,,,active
le-bar-en-croute,Le Bar en Croûte,"Salt-crusted sea bass served with a lemon-butter sauce and seasonal greens.",Maison Étoile,,Main Course,"Plat, Seafood",TRUE,Title,Default,,,0,600,shopify,20,deny,manual,48.00,,FALSE,TRUE,,https://images.unsplash.com/photo-1519708227418-c8fd9a32b7a2?q=80&w=1000&auto=format&fit=crop,1,Sea Bass en Croute,FALSE,,,,,,,,,,,,,,,,kg,,,active
le-canard-a-l-orange,Le Canard à l'Orange,"Roasted duck breast, spiced orange reduction, and honey-glazed carrots.",Maison Étoile,,Main Course,"Plat, Classic",TRUE,Title,Default,,,0,500,shopify,25,deny,manual,52.00,,FALSE,TRUE,,https://images.unsplash.com/photo-1514516348920-f319999a5e94?q=80&w=1000&auto=format&fit=crop,1,Duck a l'Orange,FALSE,,,,,,,,,,,,,,,,kg,,,active
chocolate-souffle,Chocolate Soufflé,"A delicate 70% dark Valrhona chocolate soufflé, served warm with a side of Madagascar vanilla bean crème anglaise.",Maison Étoile,,Dessert,"Chocolate, Dessert, French",TRUE,Title,Default,,,0,200,shopify,20,deny,manual,18.00,,FALSE,TRUE,,https://images.unsplash.com/photo-1579954115545-a95591f28be0?q=80&w=1000&auto=format&fit=crop,1,Dark Chocolate Soufflé,FALSE,,,,,,,,,,,,,,,,kg,,,active
mille-feuille-vanille,Mille-Feuille Vanille,"Layered puff pastry, Madagascar vanilla bean cream, and salted caramel.",Maison Étoile,,Dessert,"Dessert",TRUE,Title,Default,,,0,250,shopify,30,deny,manual,15.00,,FALSE,TRUE,,https://images.unsplash.com/photo-1509365465985-25d11c17e812?q=80&w=1000&auto=format&fit=crop,1,Mille-Feuille,FALSE,,,,,,,,,,,,,,,,kg,,,active
fondant-au-chocolat-noir,Fondant au Chocolat Noir,"Warm dark chocolate cake with a molten center, served with raspberry sorbet.",Maison Étoile,,Dessert,"Dessert, Gluten-Free",TRUE,Title,Default,,,0,200,shopify,40,deny,manual,16.00,,FALSE,TRUE,,https://images.unsplash.com/photo-1541919329513-35f7af297129?q=80&w=1000&auto=format&fit=crop,1,Molten Chocolate Cake,FALSE,,,,,,,,,,,,,,,,kg,,,active
dom-perignon-vintage,Dom Pérignon Vintage 2012,"A symbol of luxury, this vintage champagne offers exceptional complexity and balance.",Maison Étoile,,Wine,"Cave, Champagne",TRUE,Title,Default,,,0,1500,shopify,12,deny,manual,320.00,,FALSE,TRUE,,https://images.unsplash.com/photo-1510812431401-41d2bd2722f3?q=80&w=1000&auto=format&fit=crop,1,Dom Perignon,FALSE,,,,,,,,,,,,,,,,kg,,,active
chateau-margaux-2015,Château Margaux 2015,"One of the world's most prestigious red wines, celebrated for its elegance and longevity.",Maison Étoile,,Wine,"Cave, Red",TRUE,Title,Default,,,0,1500,shopify,6,deny,manual,850.00,,FALSE,TRUE,,https://images.unsplash.com/photo-1506377247377-2a5b3b417ebb?q=80&w=1000&auto=format&fit=crop,1,Chateau Margaux,FALSE,,,,,,,,,,,,,,,,kg,,,active
martini-aux-truffes,Martini aux Truffes,"Premium vodka, dry vermouth, and a drop of white truffle oil, garnished with a truffle slice.",Maison Étoile,,Cocktail,"Bar, Signature",TRUE,Title,Default,,,0,200,shopify,100,deny,manual,22.00,,FALSE,TRUE,,https://images.unsplash.com/photo-1514362545857-3bc16c4c7d1b?q=80&w=1000&auto=format&fit=crop,1,Truffle Martini,FALSE,,,,,,,,,,,,,,,,kg,,,active
escargots-de-bourgogne,Escargots de Bourgogne,"Six Burgundy snails baked in garlic-parsley butter and served in their shells.",Maison Étoile,,Appetizer,"Entrée, Classic",TRUE,Title,Default,,,0,250,shopify,40,deny,manual,22.00,,FALSE,TRUE,,https://images.unsplash.com/photo-1511690656952-34342bb7c2f2?q=80&w=1000&auto=format&fit=crop,1,Escargots,FALSE,,,,,,,,,,,,,,,,kg,,,active
tartare-de-boeuf-au-couteau,Tartare de Bœuf au Couteau,"Hand-cut beef tartare, traditional condiments, and a slow-cooked egg yolk.",Maison Étoile,,Appetizer,"Entrée",TRUE,Title,Default,,,0,300,shopify,30,deny,manual,26.00,,FALSE,TRUE,,https://images.unsplash.com/photo-1512621776951-a57141f2eefd?q=80&w=1000&auto=format&fit=crop,1,Beef Tartare,FALSE,,,,,,,,,,,,,,,,kg,,,active
filet-mignon-aux-herbes,Filet Mignon aux Herbes,"Grass-fed beef tenderloin, herb butter crust, and roasted fingerling potatoes.",Maison Étoile,,Main Course,"Plat",TRUE,Title,Default,,,0,450,shopify,20,deny,manual,58.00,,FALSE,TRUE,,https://images.unsplash.com/photo-1546241072-48010ad28c2c?q=80&w=1000&auto=format&fit=crop,1,Filet Mignon,FALSE,,,,,,,,,,,,,,,,kg,,,active
bouillabaisse-marseillaise,Bouillabaisse Marseillaise,"Traditional Provencal fish stew with saffron, rouille, and croutons.",Maison Étoile,,Main Course,"Plat, Seafood",TRUE,Title,Default,,,0,700,shopify,15,deny,manual,65.00,,FALSE,TRUE,,https://images.unsplash.com/photo-1534080564607-c984d738c00b?q=80&w=1000&auto=format&fit=crop,1,Bouillabaisse,FALSE,,,,,,,,,,,,,,,,kg,,,active
tarte-tatin-maison,Tarte Tatin Maison,"Caramelized apple tart served upside down with Isigny crème fraîche.",Maison Étoile,,Dessert,"Dessert, Classic",TRUE,Title,Default,,,0,300,shopify,20,deny,manual,14.00,,FALSE,TRUE,,https://images.unsplash.com/photo-1519915028121-7d3463d20b13?q=80&w=1000&auto=format&fit=crop,1,Tarte Tatin,FALSE,,,,,,,,,,,,,,,,kg,,,active
profiteroles-au-chocolat,Profiteroles au Chocolat,"Cream puffs filled with vanilla gelato and drizzled with hot dark chocolate sauce.",Maison Étoile,,Dessert,"Dessert",TRUE,Title,Default,,,0,250,shopify,30,deny,manual,15.00,,FALSE,TRUE,,https://images.unsplash.com/photo-1551024506-0bccd828d307?q=80&w=1000&auto=format&fit=crop,1,Profiteroles,FALSE,,,,,,,,,,,,,,,,kg,,,active
assortiment-de-fromages,Assortiment de Fromages,"Selection of five artisanal French cheeses with walnut bread and honeycomb.",Maison Étoile,,Dessert,"Dessert, Cheese",TRUE,Title,Default,,,0,400,shopify,20,deny,manual,24.00,,FALSE,TRUE,,https://images.unsplash.com/photo-1452195100486-9cc805987862?q=80&w=1000&auto=format&fit=crop,1,Cheese Board,FALSE,,,,,,,,,,,,,,,,kg,,,active
negroni-vieux-carre,Negroni Vieux Carré,"A sophisticated blend of cognac, rye whiskey, sweet vermouth, and bitters.",Maison Étoile,,Cocktail,"Bar",TRUE,Title,Default,,,0,200,shopify,100,deny,manual,19.00,,FALSE,TRUE,,https://images.unsplash.com/photo-1541301684499-198f2430095f?q=80&w=1000&auto=format&fit=crop,1,Negroni,FALSE,,,,,,,,,,,,,,,,kg,,,active
puligny-montrachet-2018,Puligny-Montrachet 2018,"An exquisite white Burgundy with notes of white flowers, flint, and toasted hazelnut.",Maison Étoile,,Wine,"Cave, White",TRUE,Title,Default,,,0,1500,shopify,10,deny,manual,220.00,,FALSE,TRUE,,https://images.unsplash.com/photo-1553361371-9bb220263959?q=80&w=1000&auto=format&fit=crop,1,Puligny Montrachet,FALSE,,,,,,,,,,,,,,,,kg,,,active
coquilles-saint-jacques,Coquilles Saint-Jacques,"Pan-seared Hokkaido scallops with cauliflower purée and chorizo crumbs.",Maison Étoile,,Appetizer,"Entrée, Seafood",TRUE,Title,Default,,,0,200,shopify,20,deny,manual,31.00,,FALSE,TRUE,,https://images.unsplash.com/photo-1599458252282-dc602b557030?q=80&w=1000&auto=format&fit=crop,1,Scallops,FALSE,,,,,,,,,,,,,,,,kg,,,active
carre-d-agneau-en-croute,Carré d'Agneau en Croûte,"Herb-crusted rack of lamb, pea purée, and mint-infused jus.",Maison Étoile,,Main Course,"Plat",TRUE,Title,Default,,,0,550,shopify,20,deny,manual,62.00,,FALSE,TRUE,,https://images.unsplash.com/photo-1603048297172-c92544798d5a?q=80&w=1000&auto=format&fit=crop,1,Rack of Lamb,FALSE,,,,,,,,,,,,,,,,kg,,,active
