Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,Status
l-artichaut-fumé,L'Artichaut Fumé,"<p>Smoked artichoke hearts, hazelnut foam, and black truffle shavings.</p>",Maison Étoile,Appetizer,"Entrée, Vegan, Gluten-Free",true,Title,Default,,,12.00,false,true,https://images.unsplash.com/photo-1511690656952-34342bb7c2f2?q=80&w=1000&auto=format&fit=crop,Smoked Artichoke,active
les-huîtres-perle,Les Huîtres Perle,"<p>Six fresh Brittany oysters served with cucumber mignonette and lemon zest.</p>",Maison Étoile,Appetizer,"Entrée, Seafood",true,Title,Default,,,28.00,false,true,https://images.unsplash.com/photo-1541529086526-db283c563270?q=80&w=1000&auto=format&fit=crop,Brittany Oysters,active
le-foie-gras-royal,Le Foie Gras Royal,"<p>Pan-seared duck foie gras, mission fig jam, and toasted brioche.</p>",Maison Étoile,Appetizer,"Entrée, Signature",true,Title,Default,,,35.00,false,true,https://images.unsplash.com/photo-1628624747186-a941c476b7ef?q=80&w=1000&auto=format&fit=crop,Foie Gras Royal,active
truffle-risotto,Truffle Risotto,"<p>Creamy Arborio rice infused with black summer truffles, finished with 24-month aged Parmigiano-Reggiano and a touch of gold leaf.</p>",Maison Étoile,Main Course,"Gourmet, Truffle, Italian",true,Title,Default,,,45.00,false,true,https://images.unsplash.com/photo-1476124369491-e7addf5db371?q=80&w=1000&auto=format&fit=crop,Truffle Risotto Plated,active
wagyu-beef-steak,Wagyu Beef Steak,"<p>A5 Miyazaki Wagyu striploin, pan-seared to perfection. Served with a reduction of red wine and shallots, and smoked sea salt.</p>",Maison Étoile,Main Course,"Wagyu, Steak, Premium",true,Title,Default,,,120.00,false,true,https://images.unsplash.com/photo-1544025162-d4911d9539d0?q=80&w=1000&auto=format&fit=crop,Wagyu Beef Steak,active
lobster-thermidor,Lobster Thermidor,"<p>Fresh Atlantic lobster meat cooked in a rich brandy cream sauce, stuffed back into the shell and gratinated with Gruyère cheese.</p>",Maison Étoile,Main Course,"Seafood, Lobster, French",true,Title,Default,,,85.00,false,true,https://images.unsplash.com/photo-1553163412-463878703a31?q=80&w=1000&auto=format&fit=crop,Lobster Thermidor,active
wagyu-a5-rossini,Wagyu A5 Rossini,"<p>Japanese A5 Wagyu beef topped with foie gras and Perigord truffle sauce.</p>",Maison Étoile,Main Course,"Plat, Luxury",true,Title,Default,,,125.00,false,true,https://images.unsplash.com/photo-1546241072-48010ad28c2c?q=80&w=1000&auto=format&fit=crop,Wagyu A5 Rossini,active
le-bar-en-croûte,Le Bar en Croûte,"<p>Salt-crusted sea bass served with a lemon-butter sauce and seasonal greens.</p>",Maison Étoile,Main Course,"Plat, Seafood",true,Title,Default,,,48.00,false,true,https://images.unsplash.com/photo-1519708227418-c8fd9a32b7a2?q=80&w=1000&auto=format&fit=crop,Sea Bass en Croute,active
le-canard-à-l-orange,Le Canard à l'Orange,"<p>Roasted duck breast, spiced orange reduction, and honey-glazed carrots.</p>",Maison Étoile,Main Course,"Plat, Classic",true,Title,Default,,,52.00,false,true,https://images.unsplash.com/photo-1514516348920-f319999a5e94?q=80&w=1000&auto=format&fit=crop,Duck a l'Orange,active
chocolate-souffle,Chocolate Soufflé,"<p>A delicate 70% dark Valrhona chocolate soufflé, served warm with a side of Madagascar vanilla bean crème anglaise.</p>",Maison Étoile,Dessert,"Chocolate, Dessert, French",true,Title,Default,,,18.00,false,true,https://images.unsplash.com/photo-1579954115545-a95591f28be0?q=80&w=1000&auto=format&fit=crop,Dark Chocolate Soufflé,active
mille-feuille-vanille,Mille-Feuille Vanille,"<p>Layered puff pastry, Madagascar vanilla bean cream, and salted caramel.</p>",Maison Étoile,Dessert,"Dessert",true,Title,Default,,,15.00,false,true,https://images.unsplash.com/photo-1509365465985-25d11c17e812?q=80&w=1000&auto=format&fit=crop,Mille-Feuille,active
fondant-au-chocolat-noir,Fondant au Chocolat Noir,"<p>Warm dark chocolate cake with a molten center, served with raspberry sorbet.</p>",Maison Étoile,Dessert,"Dessert, Gluten-Free",true,Title,Default,,,16.00,false,true,https://images.unsplash.com/photo-1541919329513-35f7af297129?q=80&w=1000&auto=format&fit=crop,Molten Chocolate Cake,active
dom-perignon-vintage,Dom Pérignon Vintage 2012,"<p>A symbol of luxury, this vintage champagne offers exceptional complexity and balance.</p>",Maison Étoile,Wine,"Cave, Champagne",true,Title,Default,,,320.00,false,true,https://images.unsplash.com/photo-1510812431401-41d2bd2722f3?q=80&w=1000&auto=format&fit=crop,Dom Perignon,active
château-margaux-2015,Château Margaux 2015,"<p>One of the world's most prestigious red wines, celebrated for its elegance and longevity.</p>",Maison Étoile,Wine,"Cave, Red",true,Title,Default,,,850.00,false,true,https://images.unsplash.com/photo-1506377247377-2a5b3b417ebb?q=80&w=1000&auto=format&fit=crop,Chateau Margaux,active
martini-aux-truffes,Martini aux Truffes,"<p>Premium vodka, dry vermouth, and a drop of white truffle oil, garnished with a truffle slice.</p>",Maison Étoile,Cocktail,"Bar, Signature",true,Title,Default,,,22.00,false,true,https://images.unsplash.com/photo-1514362545857-3bc16c4c7d1b?q=80&w=1000&auto=format&fit=crop,Truffle Martini,active
escargots-de-bourgogne,Escargots de Bourgogne,"<p>Six Burgundy snails baked in garlic-parsley butter and served in their shells.</p>",Maison Étoile,Appetizer,"Entrée, Classic",true,Title,Default,,,22.00,false,true,https://images.unsplash.com/photo-1511690656952-34342bb7c2f2?q=80&w=1000&auto=format&fit=crop,Escargots,active
tartare-de-bœuf-au-couteau,Tartare de Bœuf au Couteau,"<p>Hand-cut beef tartare, traditional condiments, and a slow-cooked egg yolk.</p>",Maison Étoile,Appetizer,"Entrée",true,Title,Default,,,26.00,false,true,https://images.unsplash.com/photo-1512621776951-a57141f2eefd?q=80&w=1000&auto=format&fit=crop,Beef Tartare,active
filet-mignon-aux-herbes,Filet Mignon aux Herbes,"<p>Grass-fed beef tenderloin, herb butter crust, and roasted fingerling potatoes.</p>",Maison Étoile,Main Course,"Plat",true,Title,Default,,,58.00,false,true,https://images.unsplash.com/photo-1546241072-48010ad28c2c?q=80&w=1000&auto=format&fit=crop,Filet Mignon,active
bouillabaisse-marseillaise,Bouillabaisse Marseillaise,"<p>Traditional Provencal fish stew with saffron, rouille, and croutons.</p>",Maison Étoile,Main Course,"Plat, Seafood",true,Title,Default,,,65.00,false,true,https://images.unsplash.com/photo-1534080564607-c984d738c00b?q=80&w=1000&auto=format&fit=crop,Bouillabaisse,active
tarte-tatin-maison,Tarte Tatin Maison,"<p>Caramelized apple tart served upside down with Isigny crème fraîche.</p>",Maison Étoile,Dessert,"Dessert, Classic",true,Title,Default,,,14.00,false,true,https://images.unsplash.com/photo-1519915028121-7d3463d20b13?q=80&w=1000&auto=format&fit=crop,Tarte Tatin,active
profiteroles-au-chocolat,Profiteroles au Chocolat,"<p>Cream puffs filled with vanilla gelato and drizzled with hot dark chocolate sauce.</p>",Maison Étoile,Dessert,"Dessert",true,Title,Default,,,15.00,false,true,https://images.unsplash.com/photo-1551024506-0bccd828d307?q=80&w=1000&auto=format&fit=crop,Profiteroles,active
assortiment-de-fromages,Assortiment de Fromages,"<p>Selection of five artisanal French cheeses with walnut bread and honeycomb.</p>",Maison Étoile,Dessert,"Dessert, Cheese",true,Title,Default,,,24.00,false,true,https://images.unsplash.com/photo-1452195100486-9cc805987862?q=80&w=1000&auto=format&fit=crop,Cheese Board,active
negroni-vieux-carré,Negroni Vieux Carré,"<p>A sophisticated blend of cognac, rye whiskey, sweet vermouth, and bitters.</p>",Maison Étoile,Cocktail,"Bar",true,Title,Default,,,19.00,false,true,https://images.unsplash.com/photo-1541301684499-198f2430095f?q=80&w=1000&auto=format&fit=crop,Negroni,active
puligny-montrachet-2018,Puligny-Montrachet 2018,"<p>An exquisite white Burgundy with notes of white flowers, flint, and toasted hazelnut.</p>",Maison Étoile,Wine,"Cave, White",true,Title,Default,,,220.00,false,true,https://images.unsplash.com/photo-1553361371-9bb220263959?q=80&w=1000&auto=format&fit=crop,Puligny Montrachet,active
coquilles-saint-jacques,Coquilles Saint-Jacques,"<p>Pan-seared Hokkaido scallops with cauliflower purée and chorizo crumbs.</p>",Maison Étoile,Appetizer,"Entrée, Seafood",true,Title,Default,,,31.00,false,true,https://images.unsplash.com/photo-1599458252282-dc602b557030?q=80&w=1000&auto=format&fit=crop,Scallops,active
carré-d-agneau-en-croûte,Carré d'Agneau en Croûte,"<p>Herb-crusted rack of lamb, pea purée, and mint-infused jus.</p>",Maison Étoile,Main Course,"Plat",true,Title,Default,,,62.00,false,true,https://images.unsplash.com/photo-1603048297172-c92544798d5a?q=80&w=1000&auto=format&fit=crop,Rack of Lamb,active
